model,scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
eTIMES-EUNA,trade,FI,Production|Electricity|Conventional|Gas cc,PJ/year,0.29874,0.24909,0.19524,0.049,0.049,0.0,0.0
eTIMES-EUNA,trade,FR,Production|Electricity|Conventional|Gas cc,PJ/year,110.41191,153.23643,171.80622,178.56652,211.16561,174.53049,360.08885
eTIMES-EUNA,trade,GR,Production|Electricity|Conventional|Gas cc,PJ/year,97.97321,97.97321,97.97321,55.65335,0.0,0.0,0.0
eTIMES-EUNA,trade,HR,Production|Electricity|Conventional|Gas cc,PJ/year,9.91575,9.91575,9.91575,4.40068,0.0,0.0,0.0
eTIMES-EUNA,trade,HU,Production|Electricity|Conventional|Gas cc,PJ/year,48.77922,88.31035,73.54051,41.46399,37.2064,52.81214,68.59677
eTIMES-EUNA,trade,IE,Production|Electricity|Conventional|Gas cc,PJ/year,31.52644,37.9382,43.26697,22.0357,18.83836,18.60751,18.59896
eTIMES-EUNA,trade,IT,Production|Electricity|Conventional|Gas cc,PJ/year,581.5313,722.12973,789.86444,680.30705,428.03123,351.69149,262.63367
eTIMES-EUNA,trade,LT,Production|Electricity|Conventional|Gas cc,PJ/year,1.42261,6.57658,10.17504,9.09026,7.93155,8.31993,8.47776
eTIMES-EUNA,trade,LU,Production|Electricity|Conventional|Gas cc,PJ/year,0.81659,0.81659,0.81659,0.40492,0.0,0.0,0.0
eTIMES-EUNA,trade,LV,Production|Electricity|Conventional|Gas cc,PJ/year,4.61086,5.20529,5.63763,7.63137,3.48854,11.35806,18.19434
eTIMES-EUNA,trade,NL,Production|Electricity|Conventional|Gas cc,PJ/year,200.39751,429.58501,586.44498,548.88498,605.60594,199.87895,35.60635
eTIMES-EUNA,trade,NO,Production|Electricity|Conventional|Gas cc,PJ/year,5.90584,3.4163,7.56612,25.42819,34.21356,44.71095,28.412
eTIMES-EUNA,trade,PL,Production|Electricity|Conventional|Gas cc,PJ/year,4.63629,8.7752,236.12005,233.68428,187.78953,98.99101,114.58608
eTIMES-EUNA,trade,PT,Production|Electricity|Conventional|Gas cc,PJ/year,38.02779,45.52209,33.9431,9.19388,0.78367,0.04892,1e-05
eTIMES-EUNA,trade,RO,Production|Electricity|Conventional|Gas cc,PJ/year,15.06209,0.20569,23.07486,14.20486,8.12936,4.90645,4.91774
eTIMES-EUNA,trade,SE,Production|Electricity|Conventional|Gas cc,PJ/year,23.15601,57.108,67.09207,65.50272,74.30286,99.73742,127.3428
eTIMES-EUNA,trade,SI,Production|Electricity|Conventional|Gas cc,PJ/year,11.44832,12.42253,14.84061,6.74787,3.39778,1.39106,0.0
